wl,acc
260,6.4522e-6
270,6.4522e-6
280,6.4522e-6
290,6.4522e-6
300,2.198e-6
310,0.000133904
320,0.000555681
330,0.0016953
340,0.0035997
350,0.00613409
360,0.00745927
370,0.00905798
380,0.00992467
390,0.0105769
400,0.0110961
410,0.0114214
420,0.0114425
430,0.0111527
440,0.0108086
450,0.0104458
460,0.00997631
470,0.00931025
480,0.00875166
490,0.00832258
500,0.00797672
510,0.00756251
520,0.0066377
530,0.00533358
540,0.00437894
550,0.00375835
560,0.00332798
570,0.00292125
580,0.00253349
590,0.00211154
600,0.00173633
610,0.00135527
620,0.00105466
630,0.000720102
640,0.000484382
650,0.000291111
660,0.000178231
670,0.00011443
680,5.09155e-5
