wavelength,QE
293.0501490133432, 1.9275666084560754
293.3725300909571, 0.9241796418303776
293.59860069412974, 3.257221232858607
293.4955755449612, 2.571077040335381
293.1872932628071, 1.6359859502731349
293.17631732147, 1.538926193308607
293.1423441697123, 1.273511187149245
293.1313682283752, 1.1979563290554598
293.8975934664792, 3.4682745569190585
294.95849026097085, 4.353081957905731
295.99094938927095, 5.394618396177893
317.53866044585453, 15.046014844818961
326.4933964749271, 17.928159106671686
342.84889014045154, 21.29008262468732
349.1844790666295, 21.967671709190977
365.3108452399854, 23.7136047353806
371.64291806374365, 23.993593217129163
390.63528782831594, 24.32621643037688
396.6770921428607, 24.26715059870552
414.22287085112174, 23.535811940798084
420.55118999797253, 23.320776246892073
424.0050954167382, 23.476781607360866
437.8022813115466, 21.757360274404927
444.12850980290466, 21.308880492949303
461.3749340976514, 19.370001272283975
467.70074551379753, 18.92669387514133
480.34227407007404, 17.081925638494535
486.378592450303, 16.52742080764735
503.896321756964, 13.709951957334031
516.9157767943542, 11.986296726153329
521.6595330746788, 11.501631748911946
536.5456293901681, 9.322329013495034
547.0374642479926, 7.856235940749165
556.7016128628692, 6.416850049349357
567.5963037251327, 5.1667151419669795
577.3384257172057, 4.121693229538168
579.1980967744905, 3.8864554836869645
587.0765178520295, 3.2150265007040537
590.1400794782703, 3.117763717727197
595.6236309567626, 2.567035583337797
600.8254197018703, 2.276694778199873
603.1087639425685, 2.0541280049195865
610.7548454201376, 1.6071028423354312
613.2029554872859, 1.5146130050363777
618.1922097910108, 1.2611354770011158
620.3893034058225, 1.1891501865912488
640.8598546194816, 0.5743224997337935
644.5474235641972, 0.4700882874695991
646.857603007875, 0.44821326791382066
650.4404670679668, 0.3658821898836416
652.7526596575415, 0.28782863686788984
655.1275828074723, 0.29664923363403534
658.2039506885001, 0.280345270248517
659.3997327741943, 0.23248862327210015
661.1148542740839, 0.21838256249936874
665.6781166673943, 0.17441033198758438
669.3817881047758, 0.14210365073390685
670.9397804781405, 0.13334200494475765
673.9414496607658, 0.11123602476902224
683.6303366545347, 0.06595958446234657
686.7566393602594, 0.05317055573708387
688.1832271726399, 0.04972012640032195
690.7409060656254, 0.04163403264566084
692.1679795858478, 0.03903776234796857
696.0248810244657, 0.028546756310144587
698.4213519009421, 0.025475774724212974
699.5600749299825, 0.023804109806700474
701.8292114243943, 0.019842294496136875
700.1252836424558, 0.022483526811932344
706.3424637469454, 0.015079698914606587
707.5267267507711, 0.014442855127644464
625.6141439516391, 0.9782772191102735
633.0086423027459, 0.767622949019027
298.69789972526786, 7.131007817000353
302.87668079527197, 9.242747778804757
307.0509580595603, 11.682938257168168
678.8964174727644, 0.08581512935487896
